model,device,batch,ctx,baseline,hbm_frac,simulated,ttft_p50,ttft_p99,tpot_p50,tpot_p99,throughput_tps,flash_stall_ms,note
microsoft/phi-2,a100,2,32768,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,20.79459010791519,28.477316072417377,282.1888546336333,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,a100,1,32768,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,30.436938489252288,48.622597061258105,164.96515581888633,0.0,sim 35s
microsoft/phi-2,a100,1,32768,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,30.436938489252288,48.622597061258105,164.96515581888633,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,a100,4,32768,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,19.341599917246654,20.369453024413563,395.2189281679151,0.0,sim 35s
microsoft/phi-2,a100,4,32768,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,19.341599917246654,20.369453024413563,395.2189281679151,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,a100,8,32768,NaiveSparse,0.8452,True,-1.6195993760626193,-1.020060287274801,16.949239809742924,16.949239809742924,475.575277847223,15.16,sim 35s
microsoft/phi-2,a100,2,65536,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,20.79459010791519,28.477316072417377,282.1888546336333,0.0,sim 38s
microsoft/phi-2,a100,2,65536,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,20.79459010791519,28.477316072417377,282.1888546336333,0.0,copy-from-Dense (hbm_frac=1.0)
microsoft/phi-2,a100,1,65536,Dense,1.0,True,-1.6195993760626193,-1.020060287274801,30.436938489252288,48.622597061258105,164.96515581888633,0.0,sim 40s
microsoft/phi-2,a100,1,65536,NaiveSparse,1.0,True,-1.6195993760626193,-1.020060287274801,30.436938489252288,48.622597061258105,164.96515581888633,0.0,copy-from-Dense (hbm_frac=1.0)
